modelLevelId,levelName,elevationMeters,sourceFileLevelId,isRemoved
74298402-73ff-40d0-b9f7-b758b56865df,Chimney height,-98.0,d429870a-5890-4ad4-8e0a-31a9e746f8f4-005743ae,False
1a473778-b44d-4645-9f30-656f6786d735,DC-FONDATION-FFL,-2.4,3f0d4e0a-8903-4388-8865-39566dad5c31-0023fcb6,False
51244101-0383-4406-a7fb-36a8b4ff3280,Basement Level,-1.5,33524dfc-28da-4a26-a50c-726cbe564916-00523dd1,False
bb981cd5-bb97-4214-8741-20663bb6362d,GB-0G-FFL,-0.2,d429870a-5890-4ad4-8e0a-31a9e746f8f4-005743aa,False
0016c6bd-4b64-42ef-bb3e-491e514c2028,Ground floor level,-0.0705,33524dfc-28da-4a26-a50c-726cbe564916-00523dcc,False
e0881e59-b92a-4ac6-bd03-5d78b2d7c888,FH-0G-FFL,0.0,cb3fe738-520b-4ec5-b265-bfedd2151c55-000a2145,False
344df6bc-729a-4564-af18-e6d181e64d12,DC-0G-FFL,0.0,ffba833f-811d-461f-9591-4a94c3ac3db7-000ae29c,False
7026451f-9464-4206-9730-2df67560d108,GB-0G-FFL,0.0,96080aaf-2c19-4dac-b829-76138ff585b4-000a815f,False
f72da41e-edeb-4592-b1f5-122bba2c5566,DC-0G-FFL,0.0,cb3fe738-520b-4ec5-b265-bfedd2151c55-000a2146,False
d699857d-c2a8-4b23-b9e8-c1e73b19893b,First floor level,3.8,33524dfc-28da-4a26-a50c-726cbe564916-00523dcd,False
51e51f7b-e805-46ed-a23e-07407599fe40,GB-01-FFL,5.1,d429870a-5890-4ad4-8e0a-31a9e746f8f4-005743ab,False
65b08248-2464-4eae-82ad-7a07a26ce5a2,GB-01-FFL,5.3,96080aaf-2c19-4dac-b829-76138ff585b4-000a8161,False
d49219d9-eefa-4cbe-b2f0-0c7f95470b60,FH-01-FFL,5.3,ffba833f-811d-461f-9591-4a94c3ac3db7-000ae285,False
6869795d-9c25-4efb-8601-dc61663ebe6f,DC-01-FFL,5.3,ffba833f-811d-461f-9591-4a94c3ac3db7-000ae297,False
bda4ac69-1f4c-4ceb-bdf8-49d63cbb4e0f,DC-01-FFL,5.3,cb3fe738-520b-4ec5-b265-bfedd2151c55-000a213e,False
d4833eec-4e30-46ff-a27b-d5ac4a98a615,FH-01-FFL,5.3,cb3fe738-520b-4ec5-b265-bfedd2151c55-000a2147,False
c0e6ea4a-dce7-4d1f-8805-6472407f15ae,Second floor level,7.1,33524dfc-28da-4a26-a50c-726cbe564916-00523dce,False
70a288b7-6905-4df3-8736-1f918c9add43,FH-02-FFL,8.8333,cb3fe738-520b-4ec5-b265-bfedd2151c55-000a2142,False
ac4bdbbb-0e7f-4a6a-97d2-991b21403967,FH-02-FFL,8.8333,ffba833f-811d-461f-9591-4a94c3ac3db7-000ae286,False
e999341a-1f9e-4028-81c2-c84108d906f7,Third floor Level,9.4,33524dfc-28da-4a26-a50c-726cbe564916-00523dd0,False
1225e8e1-a271-4542-9832-601077bb8f75,GB-02-FFL,10.4,d429870a-5890-4ad4-8e0a-31a9e746f8f4-005743ac,False
5998dc6a-f610-48e6-86e0-d3d02c8013a7,GB-02-FFL,10.6,96080aaf-2c19-4dac-b829-76138ff585b4-000a8163,False
83c44989-f5fb-4dd8-809b-88d5f4911c66,DC-02-FFL,10.6,ffba833f-811d-461f-9591-4a94c3ac3db7-000ae298,False
0cff5afb-7774-4b1b-aea5-a3859f1e1a10,DC-02-FFL,10.6,cb3fe738-520b-4ec5-b265-bfedd2151c55-000a2141,False
41abf706-ec2e-4a37-82f7-533ad1e4c10e,top level,11.0,33524dfc-28da-4a26-a50c-726cbe564916-00523dcf,False
184bb583-1955-4e81-919d-ef4e22958574,Erase FH-03-FFL,12.3666,ffba833f-811d-461f-9591-4a94c3ac3db7-000ae29b,False
5e7a2b22-c239-4588-8c27-f3aaa496a111,FH-03-FFL,12.4416,cb3fe738-520b-4ec5-b265-bfedd2151c55-000a2143,False
a418671b-b41e-4855-bd93-3c0f58e1760b,FH-03-FFL,12.7756,870e2a2f-4d4b-487a-89c2-eac0f443199d-009bc6b1,False
85eabbe3-b5af-446a-b024-00bc3f48faf7,FH-03-FFL-02,13.4277,f6253aa9-86a5-48c7-ba0d-73dd6e3dc432-003b7420,False
f76acb96-ba81-4d2c-b231-806a2e41365b,FH-TOS1.1 - PHASE 2,13.6,cb3fe738-520b-4ec5-b265-bfedd2151c55-000a214a,False
42995d42-9703-4e00-9ae1-43ecfcf969fe,GB-03-FFL,15.7,d429870a-5890-4ad4-8e0a-31a9e746f8f4-005743ad,False
14d7b592-4465-4095-b590-681a88b2a054,Erase FH-04-FFL,15.9,ffba833f-811d-461f-9591-4a94c3ac3db7-000ae29a,False
21a5e1a8-5320-4445-bbeb-ede65071baa8,GB-03-FFL,15.9,96080aaf-2c19-4dac-b829-76138ff585b4-000a8198,False
0fe81bef-893e-4247-a3d4-0e821f966146,FH-04-FFL,15.9,cb3fe738-520b-4ec5-b265-bfedd2151c55-000a2144,False
5011275b-a692-4d50-9c5b-6dc9a30df77c,DC-03-FFL,15.9,cb3fe738-520b-4ec5-b265-bfedd2151c55-000a213f,False
a8e3fdab-0aff-47e6-97a6-b3c48a1a08f1,DC-03-FFL,15.9,ffba833f-811d-461f-9591-4a94c3ac3db7-000ae299,False
