pin_no,roomName,floor,captureCount,roomCapturePointId,modelRoomId,xMeters,currentY,zMeters,targetY,yOffset,currentLevelId(phantom),correctLevelId(realL00),action
1,DC - 0G - FFL_PH2-L00-MB-DATAHALL 1.1,L00,52,00b5344c-57a1-4e87-a0fe-df1bbbf68961,64891c84-5e5c-4669-829f-bd2d90b0e126,75.931,50.4,-16.768,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
2,DC - 0G - FFL_PH2-L00-MB-CORRIDOR H.2,L00,51,9bbc0cea-415f-49e2-b0e5-48baf9f6655e,32d88952-915b-47bf-ba34-aa79b167d3f3,62.291,50.4,-41.424,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
3,DC - 0G - FFL_PH2-L00-MB-CORRIDOR K.1,L00,51,d408b55f-9e91-4ecf-a40b-74208232e81f,d61e84e5-b702-48bb-9463-3be2652969d5,101.773,50.4,-6.159,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
4,DC - 0G - FFL_PH2-L00-MB-CORRIDOR R2,L00,51,e729eae3-5e72-4680-bcc1-e9a4fd5c3bfa,bfa7801b-a03c-462e-9f22-18362b0e2fab,88.162,50.4,-50.153,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
5,DC - 0G - FFL_PH2-L00-MB-PRIMARY COP_K,L00,51,60dd2c61-6657-4372-86f0-665ae5ebe5bc,cfdf27fa-d848-47d1-a516-0328d2eadde7,109.223,50.4,-29.733,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
6,DC - 0G - FFL_PH2-L00-MB-CORRIDOR NORTH,L00,50,adae82f2-5450-489d-9c3b-ab895220d82b,853b36b3-385e-4c0c-b7fd-fa1c04291bce,92.985,50.4,-6.303,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
7,DC - 0G - FFL_PH2-L00-MB-DATAHALL 2.1,L00,50,e7544552-b78e-4427-8aed-5593c94a1687,f11f8792-760f-4436-b6ce-eefdb2d30e5e,93.607,50.4,-17.891,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
8,DC - 0G - FFL_PH2-L00-MB-CORRIDOR H.1,L00,49,4af3bd1d-1a54-4b00-9168-bf643deb07e7,a056989f-4814-400a-9b46-602e28b40efe,62.421,50.4,-13.102,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
9,DC - 0G - FFL_PH2-L00-MB-CORRIDOR K.2,L00,49,2aa9734d-2cf6-4168-aa49-781da078e19f,92b6e099-c44c-4c16-9c36-fe7657eae108,105.747,50.4,-37.313,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
10,DC - 0G - FFL_PH2-L00-MB-MSB_H,L00,49,05cae6e9-e217-4eb4-8b05-c4e003b389a6,6a82904d-7cf0-41f8-9349-056e0f5583a0,59.385,50.4,-24.796,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
11,DC - 0G - FFL_PH2-L00-MB-MSB_K,L00,49,943e39d9-383a-49fd-b6f4-d078d161453e,def3b49e-b28d-4478-957a-228135bbf5b7,108.779,50.4,-21.134,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
12,DC - 0G - FFL_PH2-L00-MB-SECONDARY COP_K,L00,49,3be306d5-237c-4cd1-9043-04b04d437850,56239033-3c51-4e04-b3f4-1b8c2f728523,108.98,50.4,-37.107,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
13,DC - 0G - FFL_PH2-L00-MB-SPRINKLER VALVE ROOM 02,L00,49,34c97918-3289-4623-be01-7d3d3aab9d20,74db3e39-4e14-4d19-bf80-0c1ee054d9af,59.232,50.4,-49.679,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
14,DC - 0G - FFL_PH1-L00-FOH-CUSTOMER AVAILABLE SPACE 02,L00,48,9ca87b9f-8e3d-4d03-a109-01d7bbdd7eae,d959bf30-5de6-445b-995e-744a5b4c61cc,62.379,50.4,3.123,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
15,DC - 0G - FFL_PH2-L00-MB-SECONDARY COP_H,L00,48,27adbecb-7187-4d18-9670-6b5843318cdb,64b6cf8c-571b-4eab-a268-f4f4cf84fabb,59.258,50.4,-8.287,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
16,DC - 0G - FFL_PH1-L00-FOH-CORRIDOR 122,L00,47,80426fc9-d9e0-498e-8368-7cc86219d65a,aaa291fc-0056-45bf-9ed2-c85ab0f83b85,47.575,50.4,1.758,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
