itemId,itemType,userItemId,itemName,parentItemId,parentPresent
008c755e-e2e6-4a3e-bb50-9f78b85c17cc,WBS,AUS02-60-Schedule-L1-.1.1.2.1.2.5.1.2.5.2,Area A,de505be5-3a40-4235-bc55-0896500b7460,yes
00df955e-6ead-49d3-890a-ee1d10ca301a,WBS,AUS02-60-Schedule-L1-.1.1.2.1.2.6.1.2.6.11,Area J,0194d2ec-7c1a-439d-9328-06dd55d7c06d,yes
01579e6d-96c7-469a-9b1a-2547ef1addcb,Activity,CS-ROOF-M-1000,Roofing - Area M - Vapor Retarder,1a66f3e2-2b16-4aba-9180-0b66232179cb,yes
015bd7c0-0ad3-411d-a89e-a575e1d43684,WBS,AUS02-60-Schedule-L1-.1.1.2.1.2.6.1.2.6.4,Area C,0194d2ec-7c1a-439d-9328-06dd55d7c06d,yes
0194d2ec-7c1a-439d-9328-06dd55d7c06d,WBS,AUS02-60-Schedule-L1-.1.1.2.1.2.6,Precast Concrete,a673c5f2-f51f-4dbd-a7aa-cd5218b12ab5,NO
02561794-fd92-4847-8055-1f58b41421c8,Activity,CS-STL-D-1020,Structural Steel - Area D - Roof Framing,a08def4a-c71e-43f5-b5bd-295bf78bb2e7,yes
028d4dc6-a0a0-4a08-abec-4f7278377865,Activity,CS-ROOF-R-1020,Roofing - Area R - Composite Insulation,8e26bd0f-a4cd-4be7-924e-3b193640c564,yes
02ed3bc0-4e93-4e7b-a6a8-ce45703f6a3f,WBS,AUS02-60-Schedule-L1-.1.1.2.1.2.4.6.1.2.4.6.7,Area G,13023c24-2aca-4b2a-bf18-79fa4be7c76f,yes
03b64129-1e09-45b6-9ec0-4eaaabadeaf6,Activity,CS-PNT-1080,Precast Wall - Paint and Finish - Area O - Paint & Finish to Precast Walls,183a84d7-0382-469e-bb68-83350744017b,yes
03f951e0-0fc4-48c3-bf97-f9bf664a03fc,Activity,BUD-1120,100% Final GMP Pricing - Owner's Review & Approval (TI),43e7d33e-89ae-4d42-ac5f-5d7ccc8a6c15,yes
04f634c5-bcc1-45e3-b3ac-fd03d157cc4b,Activity,MI-DES-1030,30% Page Turn Review,386fdd5e-97fe-4e9a-ae97-44e22ae3c1a9,yes
05518a55-2f0b-498f-a6b9-46edaa609e8a,Activity,CS-PNT-1140,Precast Wall - Paint and Finish - Area C - Paint & Finish to Precast Walls,183a84d7-0382-469e-bb68-83350744017b,yes
05bc29fb-1b61-4559-b919-ec45ca146052,Activity,CS-PAD-H-1070,Building Pad Concrete - Area H - Slab on Grade,62e32c09-0f62-4576-978c-08d33a1617b7,yes
05c94e80-7a17-4cf5-b615-d88f323b0eb1,Activity,CS-PAD-E1-1000,"Building Pad - Zone 6 Sitework (Pad Cut, Moisture Conditioning & Import Select Fill/Compaction)",91f31b3c-11ca-43a5-8290-315fbc219988,yes
05f3d20a-a49e-4b4a-ae8f-2fc6ab1b75e0,Activity,OFCI-CHI-1100,Delivery of Air Cooled Chiller - #51 - 55 (5.nr),356f8480-3cba-435d-83d0-f0ea91f4b7f7,yes
061edde6-3cbc-4300-bf01-e33ebf61f907,Activity,CS-SEAL-1000,Joint Sealant - Precast Walls - Area A - Joint Sealant to Precast Walls,fd1608f8-4077-43c9-8820-f4ba41cb59a1,yes
