activity,modelElementId,handle,name,category,level
CH08-MY-161,2ddb66e7-726d-4382-bdcd-ac6d8bb4018d,7983286,Part,Parts,LEVEL 01
CH08-MY-161,a49d1e9e-c69c-4e0c-8e11-7b0929ee808e,7983290,Part,Parts,LEVEL 01
CH08-MY-161,4f113e96-d60a-4788-90ff-cc4a7b68feef,7983422,Part,Parts,LEVEL 01
CH08-MY-191,285610f6-0af7-4e20-ad2f-0cba51dd3bf9,7983186,Part,Parts,LEVEL 01
CH08-MY-191,86ca7dd2-aacd-457f-9e9c-b17b98cce879,7983300,Part,Parts,LEVEL 01
CH08-MY-191,57083d34-f154-46ce-b4aa-96eb4c40b960,7983301,Part,Parts,LEVEL 01
CH08-MY-191,7f596f9d-3262-410e-bb72-310af740dea3,7983302,Part,Parts,LEVEL 01
CH08-MY-191,3a4d25b8-1e91-43fb-b0e1-bcc34486f786,7983421,Part,Parts,LEVEL 01
CH08-MY-191,88d0567b-f322-4633-8ce1-c58e0c9a2835,7983430,Part,Parts,LEVEL 01
CH08-MY-191,5de08dce-a2bd-4c88-a02c-41692bceb0a4,7983431,Part,Parts,LEVEL 01
CH08-MY-191,8ff44d3a-6f7f-47a7-a497-5603ed7bc9ca,7983434,Part,Parts,LEVEL 01
CH08-MY-211,7eb25bd0-fbba-4d88-9696-7d5fed142e9c,7983180,Part,Parts,LEVEL 01
CH08-MY-211,4c8ae492-6010-4368-9e06-5887f849575c,7983181,Part,Parts,LEVEL 01
CH08-MY-211,2a10c401-0c3e-410f-a713-de270d9538cb,7983304,Part,Parts,LEVEL 01
CH08-MY-211,3a33cee1-eb5d-4140-812f-a3394d0588d7,7983305,Part,Parts,LEVEL 01
CH08-MY-211,c8ed57b3-1d66-40b7-a400-97307caa025c,7983306,Part,Parts,LEVEL 01
CH08-MY-211,64e5f5c3-2721-4df5-b522-e876b95604c8,7983307,Part,Parts,LEVEL 01
CH08-MY-211,da169a75-5b05-4e13-9179-865e0572d72d,7983308,Part,Parts,LEVEL 01
CH08-MY-211,979bec60-9c80-4825-a4f3-2dd5d3d00b5a,7983309,Part,Parts,LEVEL 01
CH08-MY-211,200c2d7c-81c3-4d31-9445-f877be8d7e28,7983312,Part,Parts,LEVEL 01
CH08-MY-211,06c698a7-bc26-4095-9ff2-ac4657cb6e81,7983313,Part,Parts,LEVEL 01
CH08-MY-211,3edc292f-d029-4bf7-991c-1f26495035bb,7983314,Part,Parts,LEVEL 01
CH08-MY-211,cc3bdb0e-ec2b-4391-90ac-45568d022a90,7983420,Part,Parts,LEVEL 01
CH08-MY-41,12398bf3-dae3-4c29-8275-a97e1cb64d5c,6272803,TMH_R23,Electrical Equipment,LEVEL 01
CH08-MY-41,cad330b0-27b4-4b61-9bfe-1e80271775a5,6272804,TMH_R23,Electrical Equipment,LEVEL 01
CH08-MY-881,a5f28b7b-0803-408a-93e4-82e47e2ac5d4,290226,,Generic Models,
CH08-MY-881,9517b956-acc2-4289-a3ce-c9b68e613319,290227,,Generic Models,
CH08-MY-881,5e326a7f-d7b3-4685-b045-6e43b5aa9c5d,290380,,Generic Models,
CH08-MY-881,a00e6730-4a9b-4e6b-8d71-ad556b785683,290381,,Generic Models,
CH08-MY-881,d0aeb47d-6772-4fee-a281-429b1af4754b,290382,,Generic Models,
CH08-MY-881,5c6fbcaa-fe3d-4d1c-9556-2ff027db8a8e,290384,,Generic Models,
CH08-MY-881,f7e8a653-0255-4e84-8534-d65cedb1b677,290387,,Generic Models,
CH08-MY-881,4be67d59-215d-4fca-866b-52b4d61ad94e,290388,,Generic Models,
CH08-MY-881,4000edb8-21cb-4476-ac7b-996837968e8e,290389,,Generic Models,
CH08-MY-881,3600a40b-b5da-4ac7-a885-397af0be6a09,290390,,Generic Models,
CH08-MY-881,10a9f138-a761-443f-81dd-6b63d305d8b7,290391,,Generic Models,
CH08-MY-881,0ea490b6-861a-414d-a75e-de0ccdc9fc38,290395,,Generic Models,
CH08-MY-881,c4a89831-c303-4260-87a4-804a753c85f1,290509,,Generic Models,
CH08-MY-881,ad6d1578-b24f-4eb5-9b99-0be7ae198f98,290510,,Generic Models,
